Year	State	Base: All Respondents	in preschool	in kindergarten	in grade 1 to grade 4	in grade 5 to grade 8	in high school 	in college, undergraduate	in graduate school	preschool (in %)	kindergarten(in %)	grade 1 to grade 4(in %)	in grade 5 to grade 8 (in %)	high school (in %)	college. undergraduate (in %)	graduate school (in %)
																
2012	Alabama	1193757	66351	61563	244929	252167	254491	263603	50653	5.55816636049045	5.15707970717659	20.5174922534486	21.1238133053879	21.3184927920841	22.0817972166865	4.24315836472582
2012	Alaska	192109	10530	10194	40478	40426	41296	38467	10718	5.48126324118079	5.30636253376989	21.0703298648163	21.0432618981932	21.4961298013107	20.0235283094493	5.57912435127974
2012	Arizona	1750958	83785	89375	364599	362857	371213	399557	79572	4.78509478811028	5.10434859088568	20.8228295595897	20.7233411652364	21.2005656332134	22.8193366145847	4.54448364837992
2012	Arkansas	745905	49796	41150	157282	152906	155003	162250	27518	6.6759171744391	5.51678833095367	21.0860632386162	20.4993933543816	20.7805283514657	21.7520997982317	3.68920975191211
2012	California	10551711	593758	521601	1989541	2033456	2196122	2705216	512017	5.62712530697628	4.94328360585312	18.855150600694	19.2713390273862	20.812946829192	25.6376998953061	4.85245473459233
2012	Colorado	1394890	86731	71122	282927	280541	276496	319001	78072	6.21776627547692	5.09875330671236	20.2831047609489	20.1120518463822	19.8220648223157	22.8692585078393	5.59700048032461
2012	Connecticut	932279	58925	42006	169891	184099	201320	221225	54813	6.32053280187583	4.5057327259329	18.223192842486	19.7472001407304	21.5943939528832	23.7294844140005	5.87946312209113
2012	Delaware	232558	14391	11804	44120	45662	47395	55424	13762	6.18813371288023	5.07572304543383	18.9716113829668	19.6346717808031	20.3798622279173	23.8323342994006	5.91766355059813
2012	District of Columbia	164694	14508	7433	24130	19366	24411	48492	26354	8.80906408248024	4.51321845361701	14.6514141377342	11.7587768831894	14.8220335895661	29.4436955808955	16.0017972725175
2012	Florida	4682150	286458	229205	903981	918984	959728	1153444	230350	6.1180867763741	4.89529382868981	19.3069636812148	19.627393398332	20.4975919182427	24.6349219909657	4.91974840618092
2012	Georgia	2766817	179511	144087	560977	572667	572894	608224	128457	6.48799685703825	5.20768088384595	20.2751754091434	20.697682571706	20.7058869451792	21.9828055126161	4.64277182047096
2012	Hawaii	333842	21647	17210	64367	66178	64985	81523	17932	6.4842051030128	5.15513326663512	19.2806776858514	19.8231498732934	19.4657951965301	24.4196356360194	5.37140323865781
2012	Idaho	445695	21504	23643	96956	97267	94610	95726	15989	4.824824151045	5.30474876316764	21.7538899920349	21.8236686523295	21.2275210626101	21.4779165124132	3.58743086639967
2012	Illinois	3384628	231735	164970	663190	680844	703720	744642	195527	6.84669038960855	4.87409546928052	19.5941769671586	20.1157704775828	20.7916497765781	22.000704361011	5.77691255878046
2012	Indiana	1717877	99926	85517	358613	355958	360092	385269	72502	5.81683089068659	4.97806303943763	20.8753595280687	20.7208083000122	20.9614541669747	22.4270422154788	4.2204418593415
2012	Iowa	810892	55549	43057	161092	162256	159813	191763	37362	6.85035738421393	5.30983164219156	19.8660240821219	20.0095697084199	19.7082965425729	23.6484020066791	4.6075186338008
2012	Kansas	789812	50700	41435	159328	159363	161415	177618	39953	6.4192491377695	5.24618516811596	20.17290190577	20.177333340086	20.4371420034135	22.4886428669101	5.058545577935
2012	Kentucky	1085773	62448	57096	224910	230607	226312	236507	47893	5.75147843978438	5.25855772799655	20.71427453068	21.2389698399205	20.8433991267051	21.7823615065027	4.41095882841073
2012	Louisiana	1176907	82158	62450	255723	249986	239185	239586	47819	6.98084045723239	5.30628163482756	21.7283948519297	21.2409306767655	20.323186114111	20.3572584749687	4.06310779016524
2012	Maine	296853	16087	14400	57683	58700	65041	70704	14238	5.41918053716823	4.85088579195764	19.4315031345481	19.7740969436051	21.9101710274109	23.817849238512	4.79631332679811
2012	Maryland	1564161	98470	77947	292780	292987	311720	375496	114761	6.29538775100517	4.9833105415619	18.7180219938996	18.7312559257007	19.9288947876849	24.0062244231892	7.33690457695851
2012	Massachusetts	1748398	111126	78297	301022	319730	343004	455766	139453	6.35587549287977	4.47821377054881	17.2170180931344	18.2870261805378	19.6181876208964	26.0676344859694	7.97604435603335
2012	Michigan	2562133	142614	123329	486199	511589	543029	628804	126569	5.56622158178362	4.81352841558186	18.9763372939656	19.9673084886694	21.1944110629698	24.5422076059283	4.93998555110137
2012	Minnesota	1400964	93162	71879	284386	283845	292619	309837	65236	6.64984967493812	5.13068144506211	20.2993081906459	20.2606919235612	20.8869749686644	22.1159858497435	4.6565079473848
2012	Mississippi	802804	49254	46835	167958	166040	163174	178925	30618	6.13524596290004	5.83392708556509	20.9214204214229	20.6825078101255	20.3255090906373	22.2875072869592	3.81388234238992
